resource,amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,33668,open-space-and-leisure,20181759-da,20181759REC,,2020-10-29,2019-08-14,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,21449.4,open-space-and-leisure,20181759-da,20181759OS,,2020-10-29,2019-08-14,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,416774.4,affordable-housing,20182186-da,20182186AH,,2020-10-29,2019-11-05,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,71305.2,education,20182186-da,20182186ED1,,2020-10-29,2019-11-05,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,71305.2,education,20182186-da,20182186ED2,,2020-10-29,2019-11-05,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,95073.6,education,20182186-da,20182186ED3,,2020-10-29,2019-11-05,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,45168.2,open-space-and-leisure,20182186-da,20182186OS1,,2020-10-29,2019-11-05,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,open-space-and-leisure,20182186-da,20182186OS2,,2020-10-29,2019-11-05,1,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,3.6E+4,open-space-and-leisure,20182186-da,20182186LE,,2020-10-29,2019-11-05,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,9170.2,open-space-and-leisure,20182266-da,20182266REC,,2020-10-29,2019-09-17,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182316-da,20182316AH,,2020-10-29,2019-01-25,1,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,5142.6,open-space-and-leisure,20182316-da,20182316REC,,2020-10-29,2019-01-25,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,9E+3,open-space-and-leisure,20182316-da,20182316LE,,2020-10-29,2019-01-20,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182404-da,20182404AH1,,2020-10-29,2020-03-29,6,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182404-da,20182404AH2,,2020-10-29,2020-03-29,5,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182404-da,20182404AH3,,2020-10-29,2020-03-29,4,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,132132,education,20182404-da,20182404ED1,,2020-10-29,2020-03-29,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,132132,education,20182404-da,20182404ED2,,2020-10-29,2020-03-29,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,176176,education,20182404-da,20182404ED3,,2020-10-29,2020-03-29,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,35173,open-space-and-leisure,20182404-da,20182404OS1,,2020-10-29,2020-03-29,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,open-space-and-leisure,20182404-da,20182404OS2,,2020-10-29,2020-03-29,1,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,40876,open-space-and-leisure,20182404-da,20182404REC,,2020-10-29,2020-03-29,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,4.75E+4,open-space-and-leisure,20182404-da,20182404LE,,2020-10-29,2020-03-29,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182481-da,20182481AH,,2020-10-29,2019-07-03,2,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,3E+4,open-space-and-leisure,20182481-da,20182481REC1,,2020-10-29,2019-07-03,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,3.5E+4,open-space-and-leisure,20182481-da,20182481REC2,,2020-10-29,2019-07-03,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182525-da,20182525AH1,,2020-10-29,2019-11-01,2,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182525-da,20182525AH2,,2020-10-29,2019-11-01,2,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182525-da,20182525AH3,,2020-10-29,2019-11-01,2,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20182525-da,20182525AH4,,2020-10-29,2019-11-01,3,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,348219,education,20182525-da,20182525ED,,2020-10-29,2019-11-01,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,75623.8,open-space-and-leisure,20182525-da,20182525OS1,,2020-10-29,2019-11-01,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,open-space-and-leisure,20182525-da,20182525OS2,,2020-10-29,2019-11-01,1,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,4.5E+4,open-space-and-leisure,20182525-da,20182525LE1,,2020-10-29,2019-11-01,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,4.5E+4,open-space-and-leisure,20182525-da,20182525LE2,,2020-10-29,2019-11-01,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,2E+3,highways,20182525-da,20182525HW,,2020-10-29,2019-11-01,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,58201,affordable-housing,20190783-da,20190783AH,,2020-10-29,2019-09-10,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,6292.6,open-space-and-leisure,20190783-da,2019783REC,,2020-10-29,2019-09-10,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,2.5E+5,highways,20191147-da,20191147HW,,2020-10-29,2019-10-09,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191280-da,20191280AH,,2020-10-29,2020-03-18,37,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,11600.2,open-space-and-leisure,20191280-da,20191280REC,,2020-10-29,2020-03-18,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,46953.9,education,20191454-da,20191454ED1,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,46953.9,education,20191454-da,20191454ED2,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,62605.2,education,20191454-da,20191454ED3,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191454-da,20191454AH,,2020-10-29,2020-02-24,2,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,12807.5,open-space-and-leisure,20191454-da,20191454OP,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,19721,open-space-and-leisure,20191454-da,20191454LE,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,13967.8,open-space-and-leisure,20191454-da,20191454REC,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,2E+3,flood-and-water-management,20191454-da,20191454DRA,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,2E+3,highways,20191454-da,20191454TRO,,2020-10-29,2020-02-24,,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191643-da,20191643AH1,,2020-10-29,2020-12-17,5,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191643-da,20191643AH2,,2020-10-29,2020-12-17,5,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191643-da,20191643AH3,,2020-10-29,2020-12-17,5,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191643-da,20191643AH4,,2020-10-29,2020-12-17,5,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191821-da,20191821AH,,2020-10-29,2020-03-18,12,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,open-space-and-leisure,20191821-da,20191821OP,,2020-10-29,2020-03-18,2,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,,affordable-housing,20191729-da,20191729AH,,2020-10-29,2020-03-18,8,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,30077.38,community-infrastructure-levy,18/01796/FUL_CIL,18/01796/FUL_CIL_59,,2020-04-06,2019-06-11,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5639.51,neighbourhood-community-infrastructure-levy,18/01796/FUL_CIL,18/01796/FUL_CIL_59A,,2020-04-06,2019-06-11,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1879.84,community-infrastructure-levy,18/01796/FUL_CIL,18/01796/FUL_CIL_61,,2020-04-06,2019-06-11,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,10892.8,community-infrastructure-levy,19/00077/FUL_CIL,19/00077/FUL_CIL_59,,2020-04-06,2019-06-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,2042.4,neighbourhood-community-infrastructure-levy,19/00077/FUL_CIL,19/00077/FUL_CIL_59A,,2020-04-06,2019-06-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,680.8,community-infrastructure-levy,19/00077/FUL_CIL,19/00077/FUL_CIL_61,,2020-04-06,2019-06-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,2654.53,community-infrastructure-levy,18/02604/FUL_CIL,18/02604/FUL_CIL_59,,2020-04-06,2019-08-05,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,497.72,neighbourhood-community-infrastructure-levy,18/02604/FUL_CIL,18/02604/FUL_CIL_59A,,2020-04-06,2019-08-05,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,165.91,community-infrastructure-levy,18/02604/FUL_CIL,18/02604/FUL_CIL_61,,2020-04-06,2019-08-05,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,7364.48,community-infrastructure-levy,18/02555/FUL_CIL,18/02555/FUL_CIL_59,,2020-04-06,2019-08-06,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1380.84,neighbourhood-community-infrastructure-levy,18/02555/FUL_CIL,18/02555/FUL_CIL_59A,,2020-04-06,2019-08-06,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,460.28,community-infrastructure-levy,18/02555/FUL_CIL,18/02555/FUL_CIL_61,,2020-04-06,2019-08-06,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,28968,community-infrastructure-levy,19/00492/CONDIT_CIL,19/00492/CONDIT_CIL_59,,2020-04-06,2019-08-15,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5431.5,neighbourhood-community-infrastructure-levy,19/00492/CONDIT_CIL,19/00492/CONDIT_CIL_59A,,2020-04-06,2019-08-15,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1810.5,community-infrastructure-levy,19/00492/CONDIT_CIL,19/00492/CONDIT_CIL_61,,2020-04-06,2019-08-15,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,2.56E+3,community-infrastructure-levy,19/00189/CONDIT_CIL,19/00189/CONDIT_CIL_59,,2020-04-06,2019-06-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,4.8E+2,neighbourhood-community-infrastructure-levy,19/00189/CONDIT_CIL,19/00189/CONDIT_CIL_59A,,2020-04-06,2019-06-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1.6E+2,community-infrastructure-levy,19/00189/CONDIT_CIL,19/00189/CONDIT_CIL_61,,2020-04-06,2019-06-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,52394.4,community-infrastructure-levy,18/00704/FUL_CIL,18/00704/FUL_CIL_59,,2020-04-06,2019-10-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,9823.95,neighbourhood-community-infrastructure-levy,18/00704/FUL_CIL,18/00704/FUL_CIL_59A,,2020-04-06,2019-10-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,3274.65,community-infrastructure-levy,18/00704/FUL_CIL,18/00704/FUL_CIL_61,,2020-04-06,2019-10-24,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,17510.4,community-infrastructure-levy,19/01340/FUL_CIL,19/01340/FUL_CIL_59,,2020-04-06,2019-12-12,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,3283.2,neighbourhood-community-infrastructure-levy,19/01340/FUL_CIL,19/01340/FUL_CIL_59A,,2020-04-06,2019-12-12,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1094.4,community-infrastructure-levy,19/01340/FUL_CIL,19/01340/FUL_CIL_61,,2020-04-06,2019-12-12,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5.624E+4,community-infrastructure-levy,18/01709/FUL_CIL,18/01709/FUL_CIL_59,,2020-04-06,2020-01-21,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,10545,neighbourhood-community-infrastructure-levy,18/01709/FUL_CIL,18/01709/FUL_CIL_59A,,2020-04-06,2020-01-21,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,3515,community-infrastructure-levy,18/01709/FUL_CIL,18/01709/FUL_CIL_61,,2020-04-06,2020-01-21,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,2841.6,community-infrastructure-levy,19/01956/FUL_CIL,19/01956/FUL_CIL_59,,2020-04-06,2020-01-21,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,532.8,neighbourhood-community-infrastructure-levy,19/01956/FUL_CIL,19/01956/FUL_CIL_59A,,2020-04-06,2020-01-21,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,177.6,community-infrastructure-levy,19/01956/FUL_CIL,19/01956/FUL_CIL_61,,2020-04-06,2020-01-21,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,10300.8,community-infrastructure-levy,19/01794/FUL_CIL,19/01794/FUL_CIL_59,,2020-04-06,2020-01-29,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1931.4,neighbourhood-community-infrastructure-levy,19/01794/FUL_CIL,19/01794/FUL_CIL_59A,,2020-04-06,2020-01-29,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,643.8,community-infrastructure-levy,19/01794/FUL_CIL,19/01794/FUL_CIL_61,,2020-04-06,2020-01-29,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1473.75,community-infrastructure-levy,19/02368/CONDIT_CIL,19/02368/CONDIT_CIL_59,,2020-04-06,2020-02-13,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,276.33,neighbourhood-community-infrastructure-levy,19/02368/CONDIT_CIL,19/02368/CONDIT_CIL_59A,,2020-04-06,2020-02-13,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,92.11,community-infrastructure-levy,19/02368/CONDIT_CIL,19/02368/CONDIT_CIL_61,,2020-04-06,2020-02-13,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,3144.7,community-infrastructure-levy,19/01944/FUL_CIL,19/01944/FUL_CIL_59,,2020-04-06,2020-02-25,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,589.63,neighbourhood-community-infrastructure-levy,19/01944/FUL_CIL,19/01944/FUL_CIL_59A,,2020-04-06,2020-02-25,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,196.54,community-infrastructure-levy,19/01944/FUL_CIL,19/01944/FUL_CIL_61,,2020-04-06,2020-02-25,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,27878.42,community-infrastructure-levy,19/02319/FUL_CIL,19/02319/FUL_CIL_59,,2020-04-06,2020-02-28,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5227.2,neighbourhood-community-infrastructure-levy,19/02319/FUL_CIL,19/02319/FUL_CIL_59A,,2020-04-06,2020-02-28,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1742.4,community-infrastructure-levy,19/02319/FUL_CIL,19/02319/FUL_CIL_61,,2020-04-06,2020-02-28,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,9038.4,community-infrastructure-levy,19/01585/FUL_CIL,19/01585/FUL_CIL_59,,2020-04-06,2020-03-05,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1694.7,neighbourhood-community-infrastructure-levy,19/01585/FUL_CIL,19/01585/FUL_CIL_59A,,2020-04-06,2020-03-05,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,564.9,community-infrastructure-levy,19/01585/FUL_CIL,19/01585/FUL_CIL_61,,2020-04-06,2020-03-05,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,8.416E+4,open-space-and-leisure,19/00334/OUT_S106_1,19/00334/OUT_S106_1_OSL,,2020-04-06,2020-01-22,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5E+2,monitoring-fees,19/00334/OUT_S106_1,19/00334/OUT_S106_1_MON,,2020-04-06,2020-01-22,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,,affordable-housing,19/00334/OUT_S106_2,19/00334/OUT_S106_2_AH,,2020-04-06,2020-01-22,10,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5E+2,monitoring-fees,19/00334/OUT_S106_2,19/00334/OUT_S106_2_MON,,2020-04-06,2020-01-22,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,,affordable-housing,18/02171/OUT_S106,18/02171/OUT_S106,,2020-04-06,2019-08-22,28,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,1.815E+5,affordable-housing,19/00111/FUL_S106,19/00111/FUL_S106,,2020-04-06,2020-03-06,,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,8E+3,flood-and-water-management,16/01136/FUL_S106,16/01136/FUL_S106,,2020-04-06,2019-09-16,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,,,,,,2021-02-12,,,
